Altersgruppe,2020_10,2020_11,2020_12,2020_13,2020_14,2020_15,2020_16,2020_17,2020_18,2020_19,2020_20,2020_21,2020_22,2020_23,2020_24,2020_25,2020_26,2020_27,2020_28,2020_29,2020_30,2020_31,2020_32,2020_33,2020_34,2020_35,2020_36,2020_37,2020_38,2020_39,2020_40,2020_41,2020_42,2020_43,2020_44,2020_45,2020_46,2020_47,2020_48,2020_49,2020_50,2020_51,2020_52,2020_53,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2021_13,2021_14,2021_15,2021_16,2021_17,2021_18,2021_19,2021_20,2021_21,2021_22,2021_23,2021_24,2021_25,2021_26,2021_27,2021_28,2021_29,2021_30,2021_31,2021_32,2021_33,2021_34,2021_35,2021_36,2021_37,2021_38,2021_39
Gesamt,1.08,7.73,26.92,40.84,43.34,32.62,20.84,14.84,8.93,7.49,5.72,4.32,3.85,2.83,2.81,5.04,3.79,3.23,2.91,3.64,4.72,5.81,7.28,9.56,11.54,10.61,10.36,11.74,14.78,15.7,19.15,31.39,50.58,90.03,133.48,151.17,153.64,154.34,148.08,154.33,187.92,210.06,167.07,147.98,174.88,142.96,114.85,93.94,77.62,61.09,62.99,67.75,70.18,85.74,111.31,139.8,132.38,142.2,170.8,174.05,150.05,121.42,85.16,63.36,35.92,24.86,16.87,8.73,5.79,5.23,6.69,10.93,15.17,18.62,24.52,38.51,59.62,79.69,89.73,86.09,73.82,64.38,67.33
90+,0.12,1.58,12.39,51.52,142.15,151.02,103.15,70.71,34.51,24.91,17.13,12.51,8.75,5.1,5.59,4.5,3.4,2.92,1.7,3.28,2.07,4.74,3.4,3.04,2.19,3.4,2.92,5.47,8.99,11.42,14.46,22.11,53.1,107.77,177.63,208.98,280.66,372.03,427.19,509.45,656.34,725.35,636.05,604.95,656.46,609.69,478.83,349.19,234.74,157.83,129.15,100.48,74.11,73.99,77.52,80.31,75.69,87.12,96.11,96.59,77.27,65.73,49.57,33.66,19.44,15.67,7.9,5.35,1.21,0.73,2.07,2.43,3.04,6.93,8.02,15.43,16.89,27.46,40.82,42.77,47.63,41.07,39.61
85 - 89,0.38,2.43,13.94,47,92.79,90.87,59.09,43.55,20.72,16.75,11.45,7.99,5.44,3.26,3.26,3.01,2.11,1.79,1.28,1.6,2.17,2.62,2.49,3.58,1.47,2.11,1.6,5.44,6.46,7.74,10.55,19.63,36.77,73.6,114.21,145.99,181.03,215.88,261.73,293.9,377.8,443.53,372.3,357.08,387.84,355.35,283.92,212.49,164.79,105.51,93.43,76.93,61.64,59.98,70.98,80.57,76.22,68.55,76.8,75.2,63.31,54.67,39.65,27.69,15.09,10.1,5.76,3.2,2.62,1.66,1.92,2.62,3.2,4.22,5.44,9.4,14.13,21.23,27.94,32.48,33.19,28.97,33.83
80 - 84,0.36,2.55,14.21,38.82,59.59,52.18,35.7,24.83,13.72,9.05,7.47,4.67,3.43,2.31,1.85,1.88,1.55,1.49,1.12,1.12,1.55,2.73,2.12,2.46,1.94,1.52,1.82,4.01,5.95,6.44,9.56,14.3,26.01,55.82,86.06,104.24,115.23,132.32,144.77,165.29,214.74,250.62,224.87,208.45,232.71,202.99,161.83,127.25,95.44,69.54,60.53,53.97,47.05,49.72,54.46,64.6,57.46,59.5,67.36,61.41,48.39,41.41,27.96,21.04,11.6,6.34,4.71,1.91,1.21,1.15,1.4,1.49,2.28,3.34,5.28,6.98,8.99,14.45,20.49,24.98,24.01,20,27.17
75 - 79,0.62,2.92,14.73,36.17,46.13,33.9,22.06,15.17,9,7.07,4.49,2.71,2.12,1.5,1.19,1.68,1.5,1.03,1.03,1.14,1.47,1.83,1.42,1.83,1.73,1.78,1.93,3.79,4.64,6.01,7.95,13,23.29,42.05,68.21,78.76,84.67,87.22,89.9,102.34,129.06,153.13,131.62,119.62,134.56,111.19,87.94,72.62,56.7,43.88,44.16,40.5,35.19,36.76,48.86,57.32,56.11,60.67,69.83,64.18,54.66,42.95,29.41,19.94,10.53,6.48,4,1.52,1.29,1.19,1.16,1.24,1.65,2.58,3.15,5.86,7.4,10.63,13.93,15.22,14.65,14.58,18.24
70 - 74,0.3,3.97,16.87,36.14,38.43,28.36,17.17,11.51,7.46,5.63,3.48,2.56,2.18,1.28,1.09,1.55,1.09,1.01,1.55,1.69,1.71,2.42,2.48,2.15,2.64,2.5,2.86,4.11,7.08,7.27,9.55,15.9,25.42,49.1,78.41,86.74,89.93,91.29,86.85,94.72,119.38,140.31,121.01,112.35,131.68,99.73,83.1,67.5,56.12,42.92,43.52,44.75,42.3,49.21,64.67,77.3,79.01,85.57,98.28,91.75,78.33,62.65,43.38,29.39,15.87,9.28,5.85,3.05,1.93,1.82,1.61,1.82,2.75,4.57,4.68,8.11,10.67,16.82,20.11,22.26,20.58,18.89,23.16
65 - 69,0.51,4.86,18.19,33.9,34.74,22.95,13.52,10.31,5.45,4.3,3,2.51,2.18,1.23,1.05,1.42,1.36,1.28,1.28,1.46,1.73,1.77,2.49,2.26,2.51,2.65,2.61,4.61,5.95,6.28,9.26,14.14,26.38,46.61,73.08,87.75,82.59,85.49,85.04,84.73,106.44,130.73,114.96,102.43,117.9,90.88,74.58,64.35,52.21,39.39,42.02,43.63,41.02,47.38,65.65,80.24,81.62,88.66,101.11,95.22,81.74,67.77,47.7,33.28,15.85,12.18,6.57,2.78,2.12,1.58,1.89,2.35,3.27,4.94,5.82,8.33,12.2,16.67,20.48,22.82,21.57,20.31,22.31
60 - 64,1.12,7.6,28.28,44.67,49.21,31.66,19.21,11.92,7.17,5.88,4.23,3.1,2.99,1.88,1.61,2.14,1.88,1.97,1.66,1.95,2.69,2.67,3.61,3.42,4.2,4.3,4.41,6,8.66,9.6,12.06,22.54,37.59,70.1,106.01,121.36,122.65,129.24,124.01,135.52,166.99,195.42,162.54,146.31,164.33,133.72,110.42,90.69,74.61,56.43,57.51,62.24,60.55,72.95,93.98,116.33,113.43,121.73,134.55,137.36,120.28,97.93,66.06,46.94,23.78,15.09,9.88,5.01,2.73,2.74,2.97,4.16,5.21,7.03,8.41,12.59,17.32,26.29,32.46,33.23,30.31,28.98,31.94
55 - 59,1.13,11.12,38.4,53.33,54.4,38.64,23.23,15.73,8.88,7.55,5.33,3.9,3.52,2.11,1.97,2.86,2.91,2.32,1.72,2.64,3.59,4.27,4.57,4.82,6.4,5.3,5.85,8.22,11.28,12.87,16.43,27.8,44.57,85.45,133.14,150.91,152.81,152.27,146.59,154.11,193.62,222.69,183.93,164.65,182.95,148.89,123.73,104.03,86.21,66.91,68.34,71.81,68.83,84.8,107.82,134.96,132.8,143.71,158.28,163.6,147.31,116.03,79.05,53.06,28.63,18.64,11.79,5.4,3.62,3.41,3.62,5.45,8.09,8.61,11.68,18.46,26.75,35.64,40.24,42.87,38.62,36.97,40.73
50 - 54,1.98,14.59,46.03,59.6,55.12,38.84,23.26,14.71,8.93,7.76,5.59,3.74,3.59,2.24,2.18,4.89,3.83,2.77,2.55,3.1,4.35,5.25,6.18,7.03,8.33,8.02,8.18,9.97,13.4,14.83,17.93,33.81,53.34,95.67,145.55,163.41,163.87,161.6,153.96,157.25,197.61,222.33,178.55,156.89,180.34,146.25,121.9,99.47,79.04,64.25,67.08,70.8,73.72,88,112.25,139.37,135.97,148.34,165.61,173.53,151.16,119.46,81.61,56.21,30.64,20.18,12.26,6.54,4.44,3.35,4.31,6.75,9.27,12.24,14.5,24.48,37.7,49.64,55.47,54.99,49.55,43.1,48.58
